GENEID	R1_H1975.bam	R2_H1975.bam	R3_H1975.bam	R1_HCC827.bam	R2_HCC827.bam	R3_HCC827.bam
BambuGene1007	15	27	25	7	0	0
BambuGene10129	5	9	6	3	14	13
BambuGene10159	11	8	16	33	73	42
BambuGene102	3	2	1	0	0	0
BambuGene10358	6	6	7	4	1	6
BambuGene1052	24	17	11	15	5	5
BambuGene10534	121	121	124	1	0	0
BambuGene1057	21	15	12	14	10	14
BambuGene10839	15	9	4	14	5	14
BambuGene10866	156	105	115	141	237	110
BambuGene10920	3	10	8	3	0	0
BambuGene10977	15	7	10	3	3	8
BambuGene11067	0	1	3	0	0	0
BambuGene11087	6	6	1	4	0	1
BambuGene11238	63	37	53	1	0	0
BambuGene11273	10	10	10	5	39	9
BambuGene11342	4	2	1	4	2	0
BambuGene11565	64	49	30	20	11	17
BambuGene11644	51	47	44	0	1	3
BambuGene11692	5	5	2	6	0	0
BambuGene11788	19	12	16	0	0	0
BambuGene11808	2	0	2	0	0	0
BambuGene11825	5	0	1	1	3	2
BambuGene11829	89	61	54	120	83	65
BambuGene11925	1	4	1	24	26	21
BambuGene11977	48	31	45	11	9	13
BambuGene12040	4	5	3	12	5	7
BambuGene12062	0	0	3	1	0	0
BambuGene12069	2	1	4	0	0	1
BambuGene12187	45	41	44	0	0	0
BambuGene12245	14	11	14	3	0	1
BambuGene12264	24	24	29	14	24	27
BambuGene12380	10	3	6	2	0	0
BambuGene12442	0	0	0	8	21	17
BambuGene12447	4	3	3	2	4	0
BambuGene12469	73	47	66	0	1	0
BambuGene12473	28	28	29	1	0	2
BambuGene12551	1	3	2	0	0	0
BambuGene1275	22	18	28	34	41	22
BambuGene12816	11	7	3	22	15	15
BambuGene12907	22	14	14	11	15	6
BambuGene12910	0	0	0	23	5	22
BambuGene12935	17	11	13	1	4	2
BambuGene13043	3	0	3	9	8	17
BambuGene13178	7	3	0	0	0	0
BambuGene13204	1	0	0	10	2	0
BambuGene13217	9	9	9	20	12	8
BambuGene1343	2	3	4	5	1	0
BambuGene13567	22	9	11	9	13	7
BambuGene13570	1	0	0	10	15	12
BambuGene13644	55	48	52	3	6	6
BambuGene13706	40	25	23	40	39	22
BambuGene138	12	8	8	1	0	0
BambuGene13824	8	8	7	10	8	5
BambuGene13837	101	94	101	143	83	116
BambuGene13840	8	17	9	4	6	3
BambuGene1388	14	11	16	1	0	0
BambuGene13887	6	5	9	1	0	1
BambuGene13925	0	0	2	77	45	54
BambuGene13945	100	89	82	5	1	1
BambuGene13963	0	0	0	9	0	2
BambuGene14019	143	83	97	62	47	68
BambuGene14052	23	29	27	4	1	2
BambuGene14109	18	19	16	0	0	0
BambuGene14127	53	29	49	17	11	10
BambuGene14236	52	37	47	10	12	3
BambuGene14263	9	6	5	6	1	6
BambuGene14380	0	0	0	3	5	3
BambuGene14498	0	0	0	1	0	4
BambuGene14506	14	5	6	9	1	5
BambuGene14558	9	4	9	5	0	3
BambuGene14612	9	6	10	2	0	0
BambuGene1465	2	1	3	8	9	9
BambuGene14816	23	28	33	0	0	0
BambuGene14858	0	3	1	0	0	0
BambuGene14893	1	0	0	10	0	3
BambuGene14902	15	9	13	2	1	3
BambuGene14922	0	2	0	9	5	3
BambuGene14929	19	9	17	2	1	2
BambuGene14951	3	1	2	0	0	0
BambuGene1499	0	0	6	0	1	0
BambuGene15002	25	14	25	9	2	4
BambuGene15140	2568	2758	2539	374	225	372
BambuGene15186	1	6	2	4	0	0
BambuGene15241	4	3	7	0	0	0
