TXNAME	GENEID	R1_H1975.bam	R2_H1975.bam	R3_H1975.bam	R1_HCC827.bam	R2_HCC827.bam	R3_HCC827.bam
BambuTx1	ENSG00000157916	128	171	124	122	81	103
BambuTx2	BambuGene33	8	18	20	0	0	0
BambuTx3	BambuGene35	3	5	3	0	0	0
BambuTx4	ENSG00000069812	93	70	114	3	1	1
BambuTx5	ENSG00000299237	0	0	6	3	0	5
BambuTx6	BambuGene1052	21	15	7	12	5	4
BambuTx7	BambuGene1057	12	10	7	10	7	9
BambuTx9	ENSG00000228150	28	24	22	12	13	8
BambuTx10	ENSG00000202415	28	19	22	6	1	2
BambuTx11	ENSG00000175279	46	43	31	5	4	6
BambuTx12	ENSG00000251503	46	49	36	14	12	7
BambuTx13	ENSG00000241563	11	5	11	2	1	3
BambuTx14	ENSG00000142655	420	361	346	99	75	67
BambuTx15	BambuGene138	4	4	2	1	0	0
BambuTx16	ENSG00000142794	6	6	4	1	0	6
BambuTx17	ENSG00000204219	19	27	12	62	44	75
BambuTx18	ENSG00000235052	0	8	3	3	3	3
BambuTx19	ENSG00000184454	4	9	5	72	40	57
BambuTx20	ENSG00000229162	11	5	7	0	0	0
BambuTx21	ENSG00000176092	22	20	13	35	23	52
BambuTx22	ENSG00000228589	21	32	40	8	8	7
BambuTx23	BambuGene1275	2	4	5	9	12	4
BambuTx24	ENSG00000198492	454	434	414	245	169	142
BambuTx25	BambuGene245	0	0	4	0	0	0
BambuTx26	ENSG00000182866	0	2	2	48	24	88
BambuTx27	BambuGene1343	0	3	3	2	0	0
BambuTx28	ENSG00000196449	9	15	8	6	20	7
BambuTx29	BambuGene1388	13	11	15	0	0	0
BambuTx31	ENSG00000298098	2	2	3	4	1	6
BambuTx32	ENSG00000116205	31	14	11	15	11	4
BambuTx33	ENSG00000284686	8	3	2	2	5	4
BambuTx34	ENSG00000162407	68	60	65	101	57	60
BambuTx35	ENSG00000226476	46	49	31	20	11	19
BambuTx36	BambuGene1499	0	0	6	0	0	0
BambuTx37	ENSG00000308605	6	16	8	3	4	7
BambuTx39	ENSG00000142892	14	20	14	29	12	11
BambuTx40	BambuGene485	7	3	3	9	4	12
BambuTx41	ENSG00000137936	41	39	26	119	90	106
BambuTx43	ENSG00000304336	119	95	87	5	1	1
BambuTx44	ENSG00000143119	2	1	6	0	0	1
BambuTx45	ENSG00000303525	8	10	2	0	0	0
BambuTx46	ENSG00000228035	0	0	2	1	3	0
BambuTx49	ENSG00000308561	14	13	18	37	48	36
BambuTx50	ENSG00000270872	8	6.5	11.61476	0	0	0
BambuTx52	ENSG00000301880	66	45	41	26	21	15
BambuTx56	BambuGene591	35	19	19	42	14	25
BambuTx58	ENSG00000143363	12	9	20	10	4	3
BambuTx59	ENSG00000182134	54	54	42	5	1	9
BambuTx60	ENSG00000285867	49	55	35	19	10	14
BambuTx61	BambuGene687	3	0	2	2	0	1
BambuTx62	ENSG00000289721	30	18	14	2	2	3
BambuTx63	BambuGene735	3	0	2	1	4	3
