"seqnames","qry_id","ref_id","qry_gene_id","ref_gene_id","gene_name","class_code","strand","start","end","len","num_exons","prediction","rnamining_score","exon","classification"
"9","BambuTx1024","ENST00000456614","ENSG00000272896","ENSG00000272896","ENSG00000272896","j","+",136791344,136800749,991,7,"coding",0.9998448,"multi-exonic","multiexon SJ match"
"12","BambuTx1126","-","BambuGene4093","-",NA,"u","+",38124139,38127323,506,2,"coding",0.91853327,"multi-exonic","intergenic"
"6","BambuTx1229","ENST00000392644","ENSG00000118690","ENSG00000118690","ARMC2","j","+",108848422,108880256,1156,6,"coding",0.97619414,"multi-exonic","multiexon SJ match"
"9","BambuTx1260","ENST00000798963","ENSG00000286451","ENSG00000286451","ENSG00000286451","j","+",83063120,83074307,448,2,"coding",0.54311335,"multi-exonic","multiexon SJ match"
"10","BambuTx129","ENST00000278064","ENSG00000197748","ENSG00000197748","CFAP43","j","-",104205801,104232371,999,6,"coding",0.5984687,"multi-exonic","multiexon SJ match"
"22","BambuTx1295","ENST00000339468","BambuGene14380","ENSG00000100027",NA,"i","-",21715581,21716062,300,2,"coding",0.88844883,"multi-exonic","intronic"
"1","BambuTx13","ENST00000377049","ENSG00000241563","ENSG00000241563","CORT","j","+",10430433,10451659,577,3,"coding",0.80722165,"multi-exonic","multiexon SJ match"
"3","BambuTx1386","ENST00000513190","BambuGene15484","ENSG00000163913",NA,"x","-",129513685,129520348,235,2,"coding",0.76607287,"multi-exonic","antisense"
"12","BambuTx193","ENST00000375266","ENSG00000121350","ENSG00000121350","PYROXD1","j","+",21437635,21457113,1095,8,"coding",0.97687757,"multi-exonic","multiexon SJ match"
"12","BambuTx194","ENST00000229314","ENSG00000111711","ENSG00000111711","GOLT1B","j","+",21501792,21508289,378,3,"coding",0.96472335,"multi-exonic","multiexon SJ match"
"1","BambuTx21","ENST00000308182","ENSG00000176092","ENSG00000176092","CRYBG2","j","-",26321865,26336459,1027,7,"coding",0.6399635,"multi-exonic","multiexon SJ match"
"12","BambuTx238","ENST00000537226","ENSG00000214029","ENSG00000214029","ZNF891","j","-",133120938,133130255,1290,2,"coding",0.95837694,"multi-exonic","multiexon SJ match"
"14","BambuTx288","ENST00000298705","ENSG00000165807","ENSG00000165807","PPP1R36","j","+",64504726,64589380,1350,10,"coding",0.7252778,"multi-exonic","multiexon SJ match"
"14","BambuTx303","ENST00000333244","ENSG00000185567","ENSG00000185567","AHNAK2","j","-",104953475,104970507,1973,7,"coding",0.9902221,"multi-exonic","multiexon SJ match"
"16","BambuTx326","ENST00000396862","ENSG00000140993","ENSG00000140993","TIGD7","j","-",3298832,3305429,2014,2,"coding",0.9998167,"multi-exonic","multiexon SJ match"
"17","BambuTx381","ENST00000620225","ENSG00000277258","ENSG00000277258","PCGF2","j","-",38735031,38748368,1440,10,"coding",0.9994918,"multi-exonic","multiexon SJ match"
"18","BambuTx415","ENST00000262126","ENSG00000101745","ENSG00000101745","ANKRD12","j","+",9136783,9254716,1614,8,"coding",0.99995947,"multi-exonic","multiexon SJ match"
"19","BambuTx448","ENST00000430298","ENSG00000286132","ENSG00000214189","ZNF788P","j","+",12092267,12113843,2929,3,"coding",0.6977671,"multi-exonic","multiexon SJ match"
"19","BambuTx458","ENST00000338797","BambuGene11067","ENSG00000105662",NA,"i","-",18761796,18764227,650,2,"coding",0.8876755,"multi-exonic","intronic"
"19","BambuTx460","ENST00000589717","ENSG00000256771","ENSG00000256771","ZNF253","j","+",19865847,19872382,408,2,"coding",0.9509261,"multi-exonic","multiexon SJ match"
"2","BambuTx582","ENST00000261017","ENSG00000138443","ENSG00000138443","ABI2","j","+",203328290,203427605,1593,10,"coding",0.99994254,"multi-exonic","multiexon SJ match"
"2","BambuTx592","ENST00000289175","ENSG00000124831","ENSG00000124831","LRRFIP1","j","+",237627582,237763447,1659,8,"coding",0.9999405,"multi-exonic","multiexon SJ match"
"20","BambuTx610","ENST00000361337","BambuGene13567","ENSG00000198900",NA,"x","-",41028823,41061490,389,2,"coding",0.7169409,"multi-exonic","antisense"
"21","BambuTx626","ENST00000619537","BambuGene13837","ENSG00000276076",NA,"i","-",6532209,6533330,556,3,"coding",0.7199741,"multi-exonic","intronic"
"22","BambuTx655","ENST00000623063","ENSG00000284431","ENSG00000239900","ADSL","j","+",40346500,40366556,1798,14,"coding",0.99011505,"multi-exonic","multiexon SJ match"
"1","BambuTx66","ENST00000359326","ENSG00000000460","ENSG00000000460","FIRRM","j","+",169795037,169853088,2903,24,"coding",0.9994068,"multi-exonic","multiexon SJ match"
"3","BambuTx684","ENST00000666034","ENSG00000213300","ENSG00000287398","ENSG00000287398","j","+",75214496,75215046,485,2,"coding",0.9992416,"multi-exonic","multiexon SJ match"
"4","BambuTx724","ENST00000400159","ENSG00000215375","ENSG00000215375","MYL5","j","+",674527,682031,850,8,"coding",0.99924517,"multi-exonic","multiexon SJ match"
"4","BambuTx763","ENST00000766251","ENSG00000287441","ENSG00000287441","ENSG00000287441","j","+",137734568,137739339,449,2,"coding",0.8312109,"multi-exonic","multiexon SJ match"
"7","BambuTx872","-","BambuGene18244","-",NA,"u","+",22031491,22031903,315,2,"coding",0.9864537,"multi-exonic","intergenic"
"8","BambuTx949","ENST00000360540","ENSG00000168300","ENSG00000168300","PCMTD1","j","-",51820167,51899098,1120,5,"coding",0.99891996,"multi-exonic","multiexon SJ match"
"9","BambuTx986","ENST00000380381","ENSG00000232176","ENSG00000137154","RPS6","j","-",19200762,19380237,327,2,"coding",0.97690773,"multi-exonic","multiexon SJ match"
"1","BambuTx1","ENST00000605895","ENSG00000157916","ENSG00000157916","RER1","j","+",2391813,2403748,1454,8,"non-coding",0.99999094,"multi-exonic","multiexon SJ match"
"1","BambuTx10","ENST00000445884","ENSG00000202415","ENSG00000228150","ENSG00000228150","j","+",9943440,9949801,535,3,"non-coding",0.99998915,"multi-exonic","multiexon SJ match"
"10","BambuTx100","ENST00000731022","ENSG00000272853","ENSG00000272853","SUV39H2-DT","j","-",14864852,14878668,1939,3,"non-coding",0.99999905,"multi-exonic","multiexon SJ match"
