"transcript_id","exon_number","width"
"BambuTx986","2",279
"BambuTx986","1",48
"BambuTx949","5",552
"BambuTx949","4",124
"BambuTx949","3",172
"BambuTx949","2",103
"BambuTx949","1",169
"BambuTx872","1",173
"BambuTx872","2",142
"BambuTx763","1",322
"BambuTx763","2",127
"BambuTx724","1",157
"BambuTx724","2",137
"BambuTx724","3",108
"BambuTx724","4",76
"BambuTx724","5",105
"BambuTx724","6",79
"BambuTx724","7",49
"BambuTx724","8",139
"BambuTx684","1",60
"BambuTx684","2",425
"BambuTx66","1",177
"BambuTx66","2",40
"BambuTx66","3",89
"BambuTx66","4",105
"BambuTx66","5",141
"BambuTx66","6",166
"BambuTx66","7",85
"BambuTx66","8",139
"BambuTx66","9",81
"BambuTx66","10",65
"BambuTx66","11",149
"BambuTx66","12",130
"BambuTx66","13",187
"BambuTx66","14",83
"BambuTx66","15",52
"BambuTx66","16",90
"BambuTx66","17",186
"BambuTx66","18",123
"BambuTx66","19",96
"BambuTx66","20",114
"BambuTx66","21",105
"BambuTx66","22",81
"BambuTx66","23",120
"BambuTx66","24",299
"BambuTx655","1",212
"BambuTx655","2",250
"BambuTx655","3",204
"BambuTx655","4",45
"BambuTx655","5",80
"BambuTx655","6",172
"BambuTx655","7",47
"BambuTx655","8",91
"BambuTx655","9",70
"BambuTx655","10",148
"BambuTx655","11",91
"BambuTx655","12",90
"BambuTx655","13",177
"BambuTx655","14",121
"BambuTx626","3",289
"BambuTx626","2",150
"BambuTx626","1",117
"BambuTx610","2",290
"BambuTx610","1",99
"BambuTx592","1",159
"BambuTx592","2",87
"BambuTx592","3",36
"BambuTx592","4",126
"BambuTx592","5",171
"BambuTx592","6",93
"BambuTx592","7",142
"BambuTx592","8",845
"BambuTx582","1",342
"BambuTx582","2",168
"BambuTx582","3",177
"BambuTx582","4",98
"BambuTx582","5",147
"BambuTx582","6",125
"BambuTx582","7",159
"BambuTx582","8",174
"BambuTx582","9",93
"BambuTx582","10",110
"BambuTx460","1",153
"BambuTx460","2",255
"BambuTx458","2",251
"BambuTx458","1",399
"BambuTx448","1",204
"BambuTx448","2",127
"BambuTx448","3",2598
"BambuTx415","1",183
"BambuTx415","2",138
"BambuTx415","3",148
"BambuTx415","4",147
"BambuTx415","5",201
"BambuTx415","6",143
"BambuTx415","7",148
"BambuTx415","8",506
"BambuTx381","10",570
"BambuTx381","9",81
"BambuTx381","8",96
"BambuTx381","7",55
"BambuTx381","6",109
"BambuTx381","5",51
"BambuTx381","4",56
"BambuTx381","3",97
"BambuTx381","2",152
"BambuTx381","1",173
"BambuTx326","2",1796
"BambuTx326","1",218
"BambuTx303","7",1325
"BambuTx303","6",185
"BambuTx303","5",151
"BambuTx303","4",102
"BambuTx303","3",99
"BambuTx303","2",59
"BambuTx303","1",52
"BambuTx288","1",221
"BambuTx288","2",87
"BambuTx288","3",98
"BambuTx288","4",67
"BambuTx288","5",99
"BambuTx288","6",135
"BambuTx288","7",43
"BambuTx288","8",179
"BambuTx288","9",192
"BambuTx288","10",229
"BambuTx238","2",1087
"BambuTx238","1",203
"BambuTx21","7",192
"BambuTx21","6",160
"BambuTx21","5",159
"BambuTx21","4",124
"BambuTx21","3",140
"BambuTx21","2",130
"BambuTx21","1",122
"BambuTx194","1",157
"BambuTx194","2",92
"BambuTx194","3",129
"BambuTx193","1",180
"BambuTx193","2",81
"BambuTx193","3",120
"BambuTx193","4",129
"BambuTx193","5",74
"BambuTx193","6",161
"BambuTx193","7",101
"BambuTx193","8",249
"BambuTx1386","2",205
"BambuTx1386","1",30
"BambuTx13","1",136
"BambuTx13","2",158
"BambuTx13","3",283
"BambuTx1295","2",83
"BambuTx1295","1",217
"BambuTx129","6",233
"BambuTx129","5",160
"BambuTx129","4",151
"BambuTx129","3",168
"BambuTx129","2",97
"BambuTx129","1",190
"BambuTx1260","1",294
"BambuTx1260","2",154
"BambuTx1229","1",125
"BambuTx1229","2",261
"BambuTx1229","3",73
"BambuTx1229","4",172
"BambuTx1229","5",208
"BambuTx1229","6",317
"BambuTx1126","1",194
"BambuTx1126","2",312
"BambuTx1024","1",81
"BambuTx1024","2",67
"BambuTx1024","3",84
"BambuTx1024","4",108
"BambuTx1024","5",122
"BambuTx1024","6",168
"BambuTx1024","7",361
